draw_date,n1
2002-05-17,30
2002-05-21,9
2002-05-24,36
2002-05-28,24
2002-05-31,47
2002-06-04,48
2002-06-07,13
2002-06-11,52
2002-06-14,2
2002-06-18,18
2002-06-21,6
2002-06-25,50
2002-06-28,4
2002-07-02,6
2002-07-05,41
2002-07-09,40
2002-07-12,15
2002-07-16,47
2002-07-19,9
2002-07-23,7
2002-07-26,32
2002-07-30,1
2002-08-02,7
2002-08-06,14
2002-08-09,26
2002-08-13,52
2002-08-16,43
2002-08-20,6
2002-08-23,44
2002-08-27,22
2002-08-30,42
2002-09-03,10
2002-09-06,35
2002-09-10,21
2002-09-13,12
2002-09-17,5
2002-09-20,8
2002-09-24,21
2002-09-27,5
2002-10-01,15
2002-10-04,1
2002-10-08,25
2002-10-11,29
2002-10-15,22
2002-10-18,38
2002-10-22,32
2002-10-25,4
2002-10-29,35
2002-11-01,37
2002-11-05,47
2002-11-08,14
2002-11-12,24
2002-11-15,39
2002-11-19,8
2002-11-22,5
2002-11-26,34
2002-11-29,40
2002-12-03,26
2002-12-06,48
2002-12-10,28
2002-12-13,34
2002-12-17,46
2002-12-20,52
2002-12-24,43
2002-12-27,3
2002-12-31,34
2003-01-03,3
2003-01-07,33
2003-01-10,18
2003-01-14,27
2003-01-17,27
2003-01-21,23
2003-01-24,5
2003-01-28,34
2003-01-31,21
2003-02-04,48
2003-02-07,50
2003-02-11,10
2003-02-14,21
2003-02-18,11
2003-02-21,20
2003-02-25,38
2003-02-28,13
2003-03-04,22
2003-03-07,33
2003-03-11,10
2003-03-14,8
2003-03-18,29
2003-03-21,8
2003-03-25,7
2003-03-28,15
2003-04-01,36
2003-04-04,18
2003-04-08,6
2003-04-11,46
2003-04-15,21
2003-04-18,3
2003-04-22,7
2003-04-25,29
2003-04-29,32
2003-05-02,52
2003-05-06,24
2003-05-09,39
2003-05-13,34
2003-05-16,52
2003-05-20,3
2003-05-23,17
2003-05-27,3
2003-05-30,3
2003-06-03,20
2003-06-06,35
2003-06-10,37
2003-06-13,33
2003-06-17,1
2003-06-20,35
2003-06-24,31
2003-06-27,43
2003-07-01,31
2003-07-04,8
2003-07-08,18
2003-07-11,10
2003-07-15,22
2003-07-18,39
2003-07-22,3
2003-07-25,30
2003-07-29,33
2003-08-01,46
2003-08-05,49
2003-08-08,42
2003-08-12,26
2003-08-15,13
2003-08-19,16
2003-08-22,31
2003-08-26,47
2003-08-29,10
2003-09-02,14
2003-09-05,19
2003-09-09,30
2003-09-12,45
2003-09-16,42
2003-09-19,13
2003-09-23,28
2003-09-26,29
2003-09-30,49
2003-10-03,51
2003-10-07,43
2003-10-10,13
2003-10-14,29
2003-10-17,18
2003-10-21,38
2003-10-24,15
2003-10-28,26
2003-10-31,3
2003-11-04,22
2003-11-07,31
2003-11-11,43
2003-11-14,52
2003-11-18,36
2003-11-21,14
2003-11-25,52
2003-11-28,19
2003-12-02,4
2003-12-05,42
2003-12-09,41
2003-12-12,26
2003-12-16,47
2003-12-19,38
2003-12-23,52
2003-12-26,36
2003-12-30,49
2004-01-02,9
2004-01-06,9
2004-01-09,12
2004-01-13,21
2004-01-16,44
2004-01-20,36
2004-01-23,13
2004-01-27,27
2004-01-30,44
2004-02-03,17
2004-02-06,13
2004-02-10,23
2004-02-13,30
2004-02-17,21
2004-02-20,24
2004-02-24,21
2004-02-27,44
2004-03-02,4
2004-03-05,3
2004-03-09,49
2004-03-12,11
2004-03-16,52
2004-03-19,4
2004-03-23,32
2004-03-26,20
2004-03-30,33
2004-04-02,13
2004-04-06,49
2004-04-09,40
2004-04-13,34
2004-04-16,41
2004-04-20,49
2004-04-23,27
2004-04-27,45
2004-04-30,34
2004-05-04,40
2004-05-07,17
2004-05-11,30
2004-05-14,6
2004-05-18,45
2004-05-21,31
2004-05-25,43
2004-05-28,33
2004-06-01,15
2004-06-04,46
2004-06-08,43
2004-06-11,36
2004-06-15,24
2004-06-18,23
2004-06-22,19
2004-06-25,32
2004-06-29,1
2004-07-02,12
2004-07-06,19
2004-07-09,16
