draw_date,n1
2010-02-03,24
2010-02-06,4
2010-02-10,34
2010-02-13,1
2010-02-17,15
2010-02-20,32
2010-02-24,12
2010-02-27,30
2010-03-03,23
2010-03-06,15
2010-03-10,1
2010-03-13,8
2010-03-17,8
2010-03-20,9
2010-03-24,7
2010-03-27,10
2010-03-31,12
2010-04-03,4
2010-04-07,33
2010-04-10,34
2010-04-14,20
2010-04-17,15
2010-04-21,20
2010-04-24,5
2010-04-28,24
2010-05-01,20
2010-05-05,11
2010-05-08,31
2010-05-12,38
2010-05-15,20
2010-05-19,27
2010-05-22,29
2010-05-26,32
2010-05-29,10
2010-06-02,38
2010-06-05,25
2010-06-09,5
2010-06-12,30
2010-06-16,6
2010-06-19,39
2010-06-23,10
2010-06-26,25
2010-06-30,27
2010-07-03,3
2010-07-07,4
2010-07-10,4
2010-07-14,6
2010-07-17,3
2010-07-21,25
2010-07-24,27
2010-07-28,2
2010-07-31,15
2010-08-04,36
2010-08-07,30
2010-08-11,29
2010-08-14,31
2010-08-18,39
2010-08-21,26
2010-08-25,23
2010-08-28,13
2010-09-01,19
2010-09-04,38
2010-09-08,20
2010-09-11,33
2010-09-15,34
2010-09-18,13
2010-09-22,15
2010-09-25,30
2010-09-29,30
2010-10-02,25
2010-10-06,24
2010-10-09,35
2010-10-13,2
2010-10-16,11
2010-10-20,17
2010-10-23,34
2010-10-27,15
2010-10-30,39
2010-11-03,33
2010-11-06,33
2010-11-10,10
2010-11-13,29
2010-11-17,5
2010-11-20,1
2010-11-24,4
2010-11-27,39
2010-12-01,2
2010-12-04,22
2010-12-08,16
2010-12-11,23
2010-12-15,18
2010-12-18,14
2010-12-22,12
2010-12-25,24
2010-12-29,30
2011-01-01,36
2011-01-05,7
2011-01-08,24
2011-01-12,27
2011-01-15,31
2011-01-19,32
2011-01-22,23
2011-01-26,6
2011-01-29,2
2011-02-02,36
2011-02-05,5
2011-02-09,30
2011-02-12,19
2011-02-16,24
2011-02-19,36
2011-02-23,29
2011-02-26,10
2011-03-02,6
2011-03-05,21
2011-03-09,8
2011-03-12,3
2011-03-16,9
2011-03-19,8
2011-03-23,9
2011-03-26,27
2011-03-30,37
2011-04-02,23
2011-04-06,15
2011-04-09,11
2011-04-13,39
2011-04-16,7
2011-04-20,27
2011-04-23,19
2011-04-27,5
2011-04-30,3
2011-05-04,24
2011-05-07,15
2011-05-11,31
2011-05-14,16
2011-05-18,16
2011-05-21,36
2011-05-25,23
2011-05-28,11
2011-06-01,31
2011-06-04,21
2011-06-08,29
2011-06-11,8
2011-06-15,29
2011-06-18,18
2011-06-22,12
2011-06-25,12
2011-06-29,26
2011-07-02,32
2011-07-06,8
2011-07-09,6
2011-07-13,8
2011-07-16,25
2011-07-20,17
2011-07-23,30
2011-07-27,33
2011-07-30,19
2011-08-03,11
2011-08-06,6
2011-08-10,38
2011-08-13,4
2011-08-17,37
2011-08-20,36
2011-08-24,39
2011-08-27,14
2011-08-31,29
2011-09-03,2
2011-09-07,13
2011-09-10,24
2011-09-14,5
2011-09-17,11
2011-09-21,13
2011-09-24,26
2011-09-28,8
2011-10-01,31
2011-10-05,17
2011-10-08,31
2011-10-12,18
2011-10-15,1
2011-10-19,2
2011-10-22,13
2011-10-26,6
2011-10-29,38
2011-11-02,36
2011-11-05,26
2011-11-09,12
2011-11-12,8
2011-11-16,28
2011-11-19,11
2011-11-23,25
2011-11-26,28
2011-11-30,22
2011-12-03,8
2011-12-07,37
2011-12-10,9
2011-12-14,19
2011-12-17,33
2011-12-21,18
2011-12-24,19
2011-12-28,14
2011-12-31,34
2012-01-04,2
2012-01-07,24
2012-01-11,25
2012-01-14,1
2012-01-18,28
2012-01-21,7
2012-01-25,5
2012-01-28,13
2012-02-01,35
2012-02-04,7
2012-02-08,33
2012-02-11,11
2012-02-15,11
2012-02-18,5
2012-02-22,32
2012-02-25,7
2012-02-29,14
2012-03-03,35
2012-03-07,12
2012-03-10,5
2012-03-14,24
2012-03-17,30
2012-03-21,6
2012-03-24,8
2012-03-28,33
2012-03-31,27
2012-04-04,6
2012-04-07,18
2012-04-11,2
2012-04-14,2
2012-04-18,29
2012-04-21,16
2012-04-25,29
2012-04-28,33
2012-05-02,29
2012-05-05,23
2012-05-09,1
2012-05-12,22
2012-05-16,2
2012-05-19,30
2012-05-23,32
2012-05-26,14
2012-05-30,14
2012-06-02,33
2012-06-06,27
2012-06-09,27
2012-06-13,18
2012-06-16,26
2012-06-20,14
2012-06-23,30
2012-06-27,6
2012-06-30,22
2012-07-04,33
2012-07-07,29
2012-07-11,23
2012-07-14,13
2012-07-18,3
2012-07-21,20
2012-07-25,16
2012-07-28,13
2012-08-01,4
2012-08-04,18
2012-08-08,12
2012-08-11,1
2012-08-15,21
2012-08-18,1
2012-08-22,19
2012-08-25,23
2012-08-29,28
2012-09-01,22
2012-09-05,29
2012-09-08,29
2012-09-12,6
2012-09-15,1
2012-09-19,23
2012-09-22,33
2012-09-26,10
2012-09-29,8
2012-10-03,10
2012-10-06,35
2012-10-10,28
2012-10-13,18
2012-10-17,35
2012-10-20,10
2012-10-24,4
2012-10-27,33
2012-10-31,5
2012-11-03,25
2012-11-07,20
2012-11-10,32
2012-11-14,13
2012-11-17,20
2012-11-21,26
2012-11-24,34
2012-11-28,6
2012-12-01,3
2012-12-05,12
2012-12-08,21
2012-12-12,28
2012-12-15,14
2012-12-19,3
2012-12-22,11
2012-12-26,4
2012-12-29,14
2013-01-02,20
2013-01-05,25
2013-01-09,26
2013-01-12,7
2013-01-16,35
2013-01-19,35
2013-01-23,9
2013-01-26,18
2013-01-30,16
2013-02-02,34
2013-02-06,12
2013-02-09,3
2013-02-13,29
2013-02-16,29
2013-02-20,17
2013-02-23,29
2013-02-27,21
2013-03-02,16
2013-03-06,1
2013-03-09,12
2013-03-13,29
2013-03-16,16
2013-03-20,15
2013-03-23,31
2013-03-27,16
2013-03-30,27
2013-04-03,3
2013-04-06,24
2013-04-10,20
2013-04-13,33
2013-04-17,28
2013-04-20,20
2013-04-24,2
2013-04-27,5
2013-05-01,18
2013-05-04,17
2013-05-08,27
2013-05-11,16
2013-05-15,32
2013-05-18,11
2013-05-22,26
2013-05-25,25
2013-05-29,2
2013-06-01,14
2013-06-05,32
2013-06-08,19
2013-06-12,32
2013-06-15,1
2013-06-19,17
2013-06-22,28
2013-06-26,33
2013-06-29,16
2013-07-03,4
2013-07-06,11
2013-07-10,27
2013-07-13,6
2013-07-17,17
2013-07-20,6
2013-07-24,7
2013-07-27,6
2013-07-31,5
2013-08-03,15
2013-08-07,32
2013-08-10,13
2013-08-14,20
2013-08-17,23
2013-08-21,23
2013-08-24,19
2013-08-28,13
2013-08-31,20
2013-09-04,11
2013-09-07,24
2013-09-11,33
2013-09-14,20
2013-09-18,19
2013-09-21,13
2013-09-25,23
2013-09-28,5
2013-10-02,17
2013-10-05,5
2013-10-09,18
2013-10-12,4
2013-10-16,28
2013-10-19,5
2013-10-23,13
2013-10-26,29
2013-10-30,10
2013-11-02,17
2013-11-06,22
2013-11-09,32
2013-11-13,9
2013-11-16,10
2013-11-20,7
2013-11-23,10
2013-11-27,17
2013-11-30,29
2013-12-04,25
2013-12-07,17
2013-12-11,27
2013-12-14,34
2013-12-18,1
2013-12-21,8
2013-12-25,32
2013-12-28,18
2014-01-01,23
2014-01-04,14
2014-01-08,22
2014-01-11,34
2014-01-15,25
2014-01-18,25
2014-01-22,29
2014-01-25,2
2014-01-29,20
2014-02-01,7
2014-02-05,24
2014-02-08,29
2014-02-12,1
2014-02-15,3
2014-02-19,34
2014-02-22,4
2014-02-26,2
2014-03-01,13
2014-03-05,19
2014-03-08,30
2014-03-12,10
2014-03-15,9
2014-03-19,14
2014-03-22,15
2014-03-26,21
2014-03-29,17
2014-04-02,24
2014-04-05,29
2014-04-09,29
2014-04-12,20
2014-04-16,8
2014-04-19,21
2014-04-23,12
2014-04-26,20
2014-04-30,32
2014-05-03,26
2014-05-07,34
2014-05-10,1
2014-05-14,33
2014-05-17,22
2014-05-21,31
2014-05-24,18
2014-05-28,25
2014-05-31,1
2014-06-04,24
2014-06-07,15
2014-06-11,23
2014-06-14,30
2014-06-18,7
2014-06-21,26
2014-06-25,35
2014-07-02,35
2014-07-05,11
2014-07-09,14
2014-07-12,26
2014-07-16,35
2014-07-19,9
2014-07-23,3
2014-07-26,16
2014-07-30,29
2014-08-02,29
2014-08-06,24
2014-08-09,24
2014-08-13,24
2014-08-16,9
2014-08-20,3
2014-08-23,31
2014-08-27,19
2014-08-30,27
2014-09-03,35
2014-09-06,18
2014-09-10,13
2014-09-13,27
2014-09-17,23
2014-09-20,16
2014-09-24,26
2014-09-27,13
2014-10-01,7
2014-10-04,31
2014-10-08,18
2014-10-11,28
2014-10-15,20
2014-10-18,19
2014-10-22,16
2014-10-25,12
2014-10-29,16
2014-11-01,17
2014-11-05,34
2014-11-08,15
2014-11-12,11
2014-11-15,28
2014-11-19,17
2014-11-22,35
2014-11-26,35
2014-11-29,27
2014-12-03,26
2014-12-06,14
2014-12-10,10
2014-12-13,33
2014-12-17,15
2014-12-20,5
2014-12-24,22
2014-12-27,15
2014-12-31,35
2015-01-03,25
2015-01-07,10
2015-01-10,19
2015-01-14,22
2015-01-17,9
2015-01-21,23
2015-01-24,10
2015-01-28,1
2015-01-31,34
2015-02-04,22
2015-02-07,33
2015-02-11,19
2015-02-14,28
2015-02-18,22
2015-02-21,26
2015-02-25,8
2015-02-28,12
2015-03-04,32
2015-03-07,33
2015-03-11,27
2015-03-14,18
2015-03-18,8
2015-03-21,7
2015-03-25,14
2015-03-28,17
2015-04-01,1
2015-04-04,28
2015-04-08,29
2015-04-11,12
2015-04-15,30
2015-04-18,17
2015-04-22,18
2015-04-25,12
2015-04-29,6
2015-05-02,33
2015-05-06,30
2015-05-09,17
2015-05-13,7
2015-05-16,32
2015-05-20,25
2015-05-23,16
2015-05-27,23
2015-05-30,22
2015-06-03,11
2015-06-06,15
2015-06-10,25
2015-06-13,29
2015-06-17,7
2015-06-20,15
2015-06-24,7
2015-06-27,27
2015-07-01,25
2015-07-04,21
2015-07-08,18
2015-07-11,3
2015-07-15,11
2015-07-18,33
2015-07-22,11
2015-07-25,2
2015-07-29,35
2015-08-01,15
2015-08-05,19
2015-08-08,15
2015-08-12,28
2015-08-15,24
2015-08-19,7
2015-08-22,7
2015-08-26,12
2015-08-29,16
2015-09-02,16
2015-09-05,19
2015-09-09,8
2015-09-12,27
2015-09-16,7
2015-09-19,24
2015-09-23,5
2015-09-26,5
2015-09-30,17
2015-10-03,4
2015-10-07,9
2015-10-10,1
2015-10-14,1
2015-10-17,19
2015-10-21,11
2015-10-24,2
2015-10-28,10
2015-10-31,7
2015-11-04,17
2015-11-07,15
2015-11-11,18
2015-11-14,5
2015-11-18,6
2015-11-21,21
2015-11-25,21
2015-11-28,2
2015-12-02,9
2015-12-05,13
2015-12-09,1
2015-12-12,22
2015-12-16,6
2015-12-19,10
2015-12-23,25
2015-12-26,20
2015-12-30,22
2016-01-02,10
2016-01-06,17
2016-01-09,13
2016-01-13,10
2016-01-16,6
2016-01-20,24
2016-01-23,19
2016-01-27,21
2016-01-30,18
2016-02-03,23
2016-02-06,8
2016-02-10,5
2016-02-13,20
2016-02-17,25
2016-02-20,25
2016-02-24,5
2016-02-27,18
2016-03-02,6
2016-03-05,19
2016-03-09,3
2016-03-12,23
2016-03-16,21
2016-03-19,3
2016-03-23,25
2016-03-26,6
2016-03-30,19
2016-04-02,3
2016-04-06,25
2016-04-09,9
2016-04-13,22
2016-04-16,3
2016-04-20,8
2016-04-23,13
2016-04-27,17
2016-04-30,14
2016-05-04,3
2016-05-07,9
2016-05-11,23
2016-05-14,9
2016-05-18,11
2016-05-21,26
2016-05-25,15
2016-05-28,12
2016-06-01,12
2016-06-04,17
2016-06-08,20
2016-06-11,7
2016-06-15,10
2016-06-18,11
2016-06-22,17
2016-06-25,25
2016-06-29,6
2016-07-02,4
2016-07-06,18
2016-07-09,12
2016-07-13,10
2016-07-16,26
2016-07-20,5
2016-07-23,11
2016-07-27,24
2016-07-30,5
2016-08-03,2
2016-08-06,12
2016-08-10,12
2016-08-13,6
2016-08-17,8
2016-08-20,24
2016-08-24,16
2016-08-27,20
