slot,epoch,position
14717431,459919,23
14717567,459923,31
14718048,459939,0
14718272,459946,0
14719201,459975,1
14719311,459978,15
14719712,459991,0
14720353,460011,1
14720867,460027,3
14720894,460027,30
14721176,460036,24
14721509,460047,5
14722016,460063,0
14722400,460075,0
14722656,460083,0
14723025,460094,17
14723190,460099,22
14723586,460112,2
14723658,460114,10
14724000,460125,0
14724224,460132,0
14724302,460134,14
14724631,460144,23
14724672,460146,0
14724992,460156,0
14725173,460161,21
14725280,460165,0
14725349,460167,5
14725824,460182,0
14726411,460200,11
14726550,460204,22
14726768,460211,16
14727989,460249,21
14728096,460253,0
14728165,460255,5
14728682,460271,10
14729009,460281,17
14729277,460289,29
14729568,460299,0
14729822,460306,30
14729995,460312,11
14730278,460321,6
14730489,460327,25
14730656,460333,0
14730784,460337,0
14731232,460351,0
14731616,460363,0
14731724,460366,12
14731735,460366,23
14731824,460369,16
14732514,460391,2
14732800,460400,0
14733520,460422,16
14733685,460427,21
14733686,460427,22
14734056,460439,8
14734067,460439,19
14734208,460444,0
14734214,460444,6
14734260,460445,20
14734555,460454,27
14734808,460462,24
14734848,460464,0
14734912,460466,0
14734914,460466,2
14735216,460475,16
14735221,460475,21
14735350,460479,22
14735864,460495,24
14735936,460498,0
14736084,460502,20
